,Identifiant,Quantite2003,Nom_Etablissement_x,LLX,LLY,Quantite2004,Quantite2005,Quantite2006,Quantite2007,Quantite2008,Quantite2009,Quantite2010,Quantite2011,Quantite2012,Quantite2013,Quantite2014,Quantite2015,Quantite2016,Quantite2017
2407,67.00454,0,DELCROS S A S,7.180852085187505,48.24560352062434,36.8,14.0,18.0,19.0,25.6,14.0,21.3,29.2,25.5,14.6,11.4,19.4,24.3,28.0
2408,67.00459000000001,0,RUBIS TERMINAL,7.571099255992347,47.60596290137667,19.0,0,0,21.0,0,0,28.901000000000003,61.303000000000004,17.835,15.442999999999998,15.9,130.775,31.299999999999997,28.52
2409,67.0046,0,RUBIS TERMINAL,7.753999333953012,48.57549782243622,15.0,0,96.0,21.8,77.3,26.7,96.88,72.34,37.276,1132.587,150.27899999999997,18.278000000000002,166.44000000000003,156.46599999999998
2410,67.00463,0,PUNCH POWERGLIDE STRASBOURG,7.753999333953012,48.57549782243622,676.985,640.5089999999998,513.9030000000001,432.641,450.13599999999997,273.803,128.23960000000002,284.43999999999994,378.234,410.63399999999996,166.12099999999992,240.6,212.38,210.94299999999998
2411,67.00466999999999,0,PSA Peugeot Citroën Site de Mulhouse,7.3450635541406015,47.74175719546459,5755.81,5039.232,4526.269,7292.009999999999,7413.3099999999995,5563.982,6135.539,5988.100000000001,4113.125000000001,3266.2690000000002,3817.1010000000006,3504.6299999999997,3162.1500000000005,3045.535
2412,67.00473000000001,0,GAGGENAU Industrie SAS,7.669424997757579,48.49359871989958,9.5,11.562999999999999,19.567,0,39.45,24.159999999999997,34.488,31.043,36.44799999999999,21.637,53.06899999999999,84.855,127.445,101.51100000000001
2413,67.00479,0,Petroplus Raffinage Reichstett,7.707315022001285,48.64013951327299,1073.8200000000002,1190.414,873.0700000000002,1135.486,775.7579999999998,1166.116,880.55,914.305,0,0,0,0,0,0
2414,67.0051,0,CADDIE S.A.,7.748316146562289,48.60522273832918,9.23,0,0,0,0,0,0,0,0,0,0,0,0,0
2415,67.00511999999999,0,BUTAGAZ,7.750797141604737,48.648665539925865,14.51,10.6,0,17.700000000000003,19.69,23.349999999999998,16.45,10.615,14.727,15.3,4.707,12.5409,4.64,0
2416,67.00513000000001,0,BUTACHIMIE,7.534438725794613,47.81674489221087,15210.41,13356.0,22610.884,98330.08,104501.53300000002,84192.15999999997,97967.35,90424.04000000001,83515.26999999999,93406.36,82486.54800000001,84471.29200000002,103556.11,91487.03100000002
2417,67.00516999999999,0,BRÄCKER S.A.S.,7.286938780403017,48.07449465886381,19.32,15.08,36.459999999999994,21.0,19.88,17.971999999999998,22.5,18.0,16.849999999999998,0,15.425,18.6,20.450000000000003,19.25
2418,67.00522,0,BIMA 83,7.17633216488648,47.80932137749268,327.5299999999999,322.08,485.62,375.56,292.93,318.56600000000003,443.094,264.24699999999996,160.805,192.077,141.02999999999997,126.24199999999999,192.93200000000004,183.43600000000006
2419,67.00523000000001,0,Chaudronnerie BIEBER Usine II,7.187456206892435,48.86652535594369,71.0,81.0,41.5,64.9,77.84,34.125,106.0,0,0,0,0,0,0,0
2420,67.0053,0,LEGRAND Strasbourg,7.753999333953012,48.57549782243622,23.810000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
2421,67.00535,0,SOFAIREL OMEGAL Ostwald,7.714434795612668,48.53621516884271,48.0,47.19,41.16,0,0,0,0,0,0,0,0,0,0,0
2422,67.00536,0,SENERVAL,7.753999333953012,48.57549782243622,8480.0,7540.0,6850.0,7039.009,6319.572999999999,6287.411,6219.301,7759.424,12039.270999999999,7806.011999999999,4525.080000000001,762.8270000000001,1669.546,665.3720000000002
2423,67.00538,0,RHODIA OPERATIONS CHALAMPE,7.534438725794613,47.81674489221087,5611.85,2881.0,1297.5219999999997,163416.774,123260.48000000001,87637.78,118316.62,68443.53,62592.130000000005,70025.94399999999,62370.558,85181.44100000002,77029.90000000002,79374.47600000001
2424,67.00541,0,EUROGLAS,7.506041075916265,47.75760214829168,850.025,0,0,0,0,0,0,0,59.43000000000001,49.72099999999999,86.28999999999999,61.559999999999995,34.974999999999994,47.559999999999995
2425,67.00565,0,ROENFANZ-MARTZOLFF,7.446452294164015,48.63696120200522,1.3499999999999999,0,0,0,4.1,3.2,0,0,0,0,0,0,0,0
2426,67.00565999999999,0,SENFA,7.445607364851454,48.25973807264984,67.0,80.0,47.0,72.0,90.0,74.5,74.0,48.0,68.0,79.8,73.0,97.6,93.7,74.62
